subject,model,accuracy,macro_f1,kappa,balanced_accuracy,n_test,feature_set,n_features
sub-cp003,Math_Model (Logistic Regression),0.5833333333333334,0.575,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp004,Math_Model (Logistic Regression),0.9166666666666666,0.9142857142857143,0.8888888888888888,0.9166666666666666,12,raw + zscore,60
sub-cp005,Math_Model (Logistic Regression),0.4166666666666667,0.4095238095238095,0.2222222222222222,0.41666666666666663,12,raw + zscore,60
sub-cp006,Math_Model (Logistic Regression),0.6666666666666666,0.6309523809523809,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp008,Math_Model (Logistic Regression),0.5833333333333334,0.47916666666666663,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp009,Math_Model (Logistic Regression),0.25,0.23809523809523808,0.0,0.25,8,raw + zscore,60
sub-cp011,Math_Model (Logistic Regression),0.5,0.4928571428571429,0.33333333333333337,0.5,12,raw + zscore,60
sub-cp012,Math_Model (Logistic Regression),0.8333333333333334,0.8285714285714286,0.7777777777777778,0.8333333333333333,12,raw + zscore,60
sub-cp013,Math_Model (Logistic Regression),0.16666666666666666,0.08333333333333333,-0.11111111111111116,0.16666666666666666,12,raw + zscore,60
sub-cp014,Math_Model (Logistic Regression),0.5,0.48571428571428565,0.33333333333333337,0.49999999999999994,12,raw + zscore,60
sub-cp015,Math_Model (Logistic Regression),0.5833333333333334,0.575,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp016,Math_Model (Logistic Regression),0.5,0.4928571428571429,0.33333333333333337,0.49999999999999994,12,raw + zscore,60
sub-cp017,Math_Model (Logistic Regression),0.8333333333333334,0.8309523809523809,0.7777777777777778,0.8333333333333333,12,raw + zscore,60
sub-cp018,Math_Model (Logistic Regression),0.6666666666666666,0.625,0.5555555555555556,0.6666666666666666,12,raw + zscore,60
sub-cp019,Math_Model (Logistic Regression),0.4166666666666667,0.3916666666666666,0.2222222222222222,0.41666666666666663,12,raw + zscore,60
sub-cp020,Math_Model (Logistic Regression),0.5833333333333334,0.5761904761904761,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp022,Math_Model (Logistic Regression),0.75,0.7476190476190476,0.6666666666666667,0.75,12,raw + zscore,60
sub-cp023,Math_Model (Logistic Regression),0.5,0.4666666666666667,0.33333333333333337,0.49999999999999994,12,raw + zscore,60
sub-cp024,Math_Model (Logistic Regression),0.3333333333333333,0.30833333333333335,0.11111111111111116,0.3333333333333333,12,raw + zscore,60
sub-cp025,Math_Model (Logistic Regression),0.9166666666666666,0.9142857142857143,0.8888888888888888,0.9166666666666666,12,raw + zscore,60
sub-cp026,Math_Model (Logistic Regression),0.42857142857142855,0.35,0.2222222222222221,0.375,7,raw + zscore,60
sub-cp027,Math_Model (Logistic Regression),0.7272727272727273,0.705952380952381,0.6333333333333333,0.7083333333333333,11,raw + zscore,60
sub-cp028,Math_Model (Logistic Regression),0.7272727272727273,0.7059523809523809,0.6413043478260869,0.75,11,raw + zscore,60
sub-cp029,Math_Model (Logistic Regression),0.5833333333333334,0.5916666666666666,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
sub-cp030,Math_Model (Logistic Regression),0.18181818181818182,0.1111111111111111,-0.125,0.16666666666666666,11,raw + zscore,60
sub-cp031,Math_Model (Logistic Regression),0.8333333333333334,0.8041666666666667,0.7714285714285715,0.7916666666666666,12,raw + zscore,60
sub-cp032,Math_Model (Logistic Regression),0.5833333333333334,0.5583333333333332,0.4444444444444444,0.5833333333333333,12,raw + zscore,60
