Feature,VIF,Round
emg_extensor_rms_mV,36.846007778494084,4
fix_density_stdev,20.955795970454176,4
eyes_closed_fraction_R,6.18278967943642,4
emg_flexor_rms_mV,7.011126884856996,4
eyes_closed_fraction_L,10.528106248304425,4
delta_HR,1.6437677634677506,5
delta_HRV_SDNN,30.38324225757666,5
delta_HRV_RMSSD,29.70728362436937,5
delta_HRV_LF_HF,1.9395973583977482,5
delta_EDA_tonic,1.4183013476771558,5
delta_EMG_flexor,5.504539195365582,5
delta_pupil_diam,1.9103299125602964,5
overall_gaze_entropy_LY,26.403777563488468,5
gaze_entropy_y,1.9828373111739979,5
psd_max_LY,20.99131236553854,5
pupil_diam_kurt,1.4241125210024483,5
overall_gaze_entropy_RY,28.127927906346674,5
psd_max_RY,22.887621715598875,5
fix_dur_skew,23.444658384816258,5
overall_gaze_entropy_RZ,28.126822549902187,5
pupil_diam_skew_R,14.377235240583532,5
pupil_diam_kurt_L,26.326589727647452,5
psd_max_RZ,25.127373481758188,5
fix_density_kurt,17.185288139978812,5
fix_density_skew,27.364135101745575,5
psd_max_LZ,15.271434616990911,5
pupil_diam_stdev_R,10.404665163778137,5
pupil_diam_std_mm,4.917924953100322,5
pupil_diam_skew_L,27.370816124387275,5
fix_density_mean,27.720780708422765,5
pupil_diam_skew,1.7491668808824252,5
fix_dur_stdev,2.348279281744612,5
fix_dur_kurt,21.10775376138805,5
emg_extensor_rms_mV,3.1463764397670144,5
fix_density_stdev,20.954190721505395,5
eyes_closed_fraction_R,6.177234826195222,5
emg_flexor_rms_mV,5.678134703559858,5
eyes_closed_fraction_L,10.526065092871562,5
delta_HR,1.6311006169453706,6
delta_HRV_RMSSD,1.6135082186145673,6
delta_HRV_LF_HF,1.458345923780412,6
delta_EDA_tonic,1.4041214266995974,6
delta_EMG_flexor,5.502311521411519,6
delta_pupil_diam,1.8396795490231992,6
overall_gaze_entropy_LY,26.347865995295756,6
gaze_entropy_y,1.9814045459944498,6
psd_max_LY,20.984444535511077,6
pupil_diam_kurt,1.4159632679843992,6
overall_gaze_entropy_RY,28.119875520099097,6
psd_max_RY,22.841991055641913,6
fix_dur_skew,23.42074460347645,6
overall_gaze_entropy_RZ,28.067629051730965,6
pupil_diam_skew_R,14.206187762842234,6
pupil_diam_kurt_L,25.763533714468508,6
psd_max_RZ,25.03240201614798,6
fix_density_kurt,17.185128291199042,6
fix_density_skew,27.362870783279178,6
psd_max_LZ,15.270972872902226,6
pupil_diam_stdev_R,10.394914709186343,6
pupil_diam_std_mm,4.913314180675563,6
pupil_diam_skew_L,27.306166363428883,6
fix_density_mean,27.53566317014555,6
pupil_diam_skew,1.7491655031662354,6
fix_dur_stdev,2.348245893058783,6
fix_dur_kurt,21.07627481019338,6
emg_extensor_rms_mV,3.145461665572265,6
fix_density_stdev,20.909317367761187,6
eyes_closed_fraction_R,6.162955716273629,6
emg_flexor_rms_mV,5.675528772440108,6
eyes_closed_fraction_L,10.520295127024697,6
delta_HR,1.6254371819658273,7
delta_HRV_RMSSD,1.5685616106631528,7
delta_HRV_LF_HF,1.4386322507156353,7
delta_EDA_tonic,1.3939118233936312,7
delta_EMG_flexor,5.446215488627095,7
delta_pupil_diam,1.7512153118992946,7
overall_gaze_entropy_LY,7.778987646940936,7
gaze_entropy_y,1.9782915202731228,7
psd_max_LY,12.405108376149757,7
pupil_diam_kurt,1.415876035490256,7
psd_max_RY,8.535290529085366,7
fix_dur_skew,23.42069115689141,7
