Difficulty_Class,Feature,Beta_Coefficient (Standardized),Odds_Ratio,Feature_Mean,Feature_Std
Level_4,pupil_diam_kurt_R,-0.388765145895019,0.6778934573815419,28.160507433881506,17.527579664639294
Level_4,fix_dur_skew,-0.7275309579123728,0.48310031377809465,3.359480054731336,1.928896178633093
Level_4,overall_gaze_entropy_RZ,0.016726392306032203,1.0168670616080417,15.792777017499597,1.258766493497419
Level_4,pupil_diam_skew_R,-0.5497593685028463,0.5770886593821927,-4.654899528359401,1.1808649163669185
Level_4,pupil_diam_kurt_L,0.04979444011641248,1.0510550194209718,26.814647261580596,17.282750902450818
Level_4,psd_max_RZ,-0.6691930565153019,0.5121216643357859,6.469911299143694e-05,4.180097462326659e-05
Level_4,fix_density_kurt,-0.2788506672500485,0.7566528878351846,58.40923811963791,149.39524612249664
Level_4,fix_density_skew,0.4177860601473324,1.5185957514951633,6.34849058157337,4.264878316046285
Level_4,overall_gaze_entropy_LZ,0.03373482289705625,1.0343102949515641,15.688409996639878,1.2621988943566185
Level_4,psd_max_LZ,0.581513445482275,1.7887435490524553,7.232551067635191e-05,5.5920249112382916e-05
Level_4,pupil_diam_stdev_R,-0.07407323774936049,0.9286036825070644,0.7937053532509355,0.23674987980039172
Level_4,pupil_diam_std_mm,0.4780973026116661,1.6130024250966657,0.2984655473212154,0.09442394865525475
Level_4,pupil_diam_skew_L,-0.024522310260331682,0.9757759188607853,-4.529061059130893,1.3187594907870634
Level_4,fix_density_mean,0.8452535509404864,2.3285681503714866,0.016840159399632522,0.008942058081758164
Level_4,pupil_diam_skew,0.4493105122277565,1.567231226112173,0.008551239091781751,0.6460199319801767
Level_4,fix_dur_stdev,-0.2691775542189207,0.7640075908335853,1.4431980143872685e-06,6.417518309842395e-07
Level_4,fix_dur_kurt,0.5750211980715483,1.7771681990533854,25.114367883640345,55.023866057497315
Level_4,emg_extensor_rms_mV,-0.2663131622602754,0.7661991452701375,0.011957656901153968,0.009477266038151147
Level_4,fix_density_stdev,-0.8759772728121769,0.4164548307599848,0.06775918855281468,0.022613223718465015
Level_4,eyes_closed_fraction_R,0.039285656227515,1.040067542990404,0.032824759470737506,0.054631794849085875
Level_4,emg_flexor_rms_mV,0.4196313513525763,1.5214005899556935,0.011633901195509087,0.006823870794563135
Level_4,eyes_closed_fraction_L,-0.3049484426343048,0.7371613795107173,0.036534645521714405,0.0887465338904227
